experiment,non-live,live,vertical,full
P1,104.3,50.7,51.3,67.7
P2,74.7,48.3,36.0,23.7
P3,94.7,52.7,32.7,23.7
P4,56.3,52.7,46.7,21.7
P5,100.3,58.3,34.7,31.3
P6,55.0,74.7,40.0,27.0
P7,66.3,34.7,34.0,15.3
P8,157.0,57.3,71.0,20.7
P9,106.7,37.3,30.7,13.0
P10,127.0,139.7,77.7,31.3
